id;creation_date;invoice_number;event_id;status
1;2022-05-18T10:18:18;2322;Handmade mobile;Kip
2;2022-05-18T08:46:29;95573;harness;systems
3;2022-05-17T21:57:13;61701;Health;Cambridgeshire yellow
4;2022-05-18T02:36:04;62900;Bedfordshire synthesizing Uruguay;deposit Fantastic
5;2022-05-18T06:47:02;71267;Centers Cambridgeshire program;THX indexing Analyst
6;2022-05-17T21:18:54;433;Concrete program invoice;e-markets Director Liaison
7;2022-05-18T01:11:40;11706;Estate Checking;unleash Berkshire time-frame
8;2022-05-18T02:57:41;92635;Frozen Distributed;Ergonomic Licensed intangible
9;2022-05-18T05:29:02;26138;Ethiopia Glen;discrete bus deposit
10;2022-05-17T15:30:36;21198;Orchestrator;Buckinghamshire
