id;creation_date;invoice_number;event_id
1;2022-05-18T03:00:31;95022;Card Account content
2;2022-05-18T07:34:58;82918;Polarised Liaison withdrawal
3;2022-05-18T02:20:21;35618;cyan Bike
4;2022-05-18T00:39:34;17568;bus application synthesize
5;2022-05-18T07:28:19;18903;Pants Dominican
6;2022-05-18T01:23:18;15508;solutions
7;2022-05-17T18:19:11;61001;copy
8;2022-05-17T20:23:16;52695;systematic Ecuador Licensed
9;2022-05-17T14:15:23;47014;transform Quality
10;2022-05-17T15:12:38;93167;Borders Frozen
